id,MonsoonIntensity,TopographyDrainage,RiverManagement,Deforestation,Urbanization,ClimateChange,DamsQuality,Siltation,AgriculturalPractices,Encroachments,IneffectiveDisasterPreparedness,DrainageSystems,CoastalVulnerability,Landslides,Watersheds,DeterioratingInfrastructure,PopulationScore,WetlandLoss,InadequatePlanning,PoliticalFactors,FloodProbability
4716,7,3,5,5,4,4,2,5,4,1,5,8,5,6,3,4,11,5,3,2,0.515
4717,8,5,4,4,3,3,3,7,3,4,10,3,3,6,7,3,4,8,3,3,0.47
4718,8,3,10,5,2,7,8,4,6,9,6,10,4,3,4,6,5,3,3,5,0.565
4719,2,5,4,11,3,1,7,3,4,4,6,7,4,8,5,2,2,1,4,8,0.455
4720,3,8,4,7,6,5,5,4,9,5,5,2,5,4,4,11,4,5,7,7,0.575
4721,4,5,6,8,3,4,6,7,4,4,4,7,1,8,6,6,6,4,3,8,0.56
4722,4,5,3,7,7,6,11,4,5,10,3,3,6,3,4,3,8,7,6,6,0.59
4723,5,7,6,7,7,3,2,4,4,3,7,5,8,4,4,9,5,5,4,3,0.51
4724,3,4,7,5,1,4,7,1,5,7,7,3,8,6,4,3,5,5,8,5,0.485
4725,2,4,0,5,3,2,1,4,5,2,2,4,5,9,4,3,6,7,8,3,0.415
4726,6,5,5,4,7,4,3,3,11,7,1,3,5,5,4,7,2,5,5,8,0.5
4727,4,7,9,2,3,5,6,1,6,2,6,4,5,5,6,4,3,4,8,4,0.45
4728,3,3,8,2,3,6,8,7,3,7,7,5,6,10,2,1,2,4,3,2,0.455
4729,5,8,5,4,5,10,5,6,6,1,7,4,2,7,7,3,5,5,3,8,0.555
4730,4,4,4,3,1,1,6,6,4,3,2,5,2,1,8,3,3,4,3,5,0.415
4731,3,5,3,4,4,6,2,4,4,7,4,5,4,4,5,9,4,3,4,7,0.455
4732,10,3,5,12,3,6,1,8,8,6,10,4,7,1,9,4,5,5,3,3,0.575
4733,6,5,6,5,3,5,6,7,8,2,5,3,5,5,4,6,6,10,4,4,0.585
4734,10,8,5,5,5,8,3,3,6,3,6,10,7,3,3,2,2,5,10,7,0.575
4735,1,9,7,6,8,2,7,6,6,2,5,2,1,8,6,2,4,7,2,3,0.445
4736,4,7,6,5,3,6,2,5,8,4,1,3,7,3,5,8,3,7,4,6,0.51
4737,6,3,2,5,4,5,5,8,5,7,6,5,5,5,4,3,4,4,5,5,0.48
4738,6,5,6,10,6,6,3,5,8,6,2,5,8,6,5,5,4,4,6,4,0.58
4739,5,3,6,4,4,2,2,2,6,9,8,5,5,5,1,3,3,3,3,5,0.41
4740,3,6,8,4,4,4,6,3,7,5,4,6,6,4,3,4,6,2,5,5,0.47
4741,6,7,6,6,6,5,7,5,5,5,8,5,4,4,7,5,2,6,4,5,0.55
4742,4,7,6,4,4,5,6,9,3,7,4,5,4,2,2,6,3,5,7,6,0.495
4743,4,4,2,7,2,8,2,4,2,5,7,3,4,6,5,5,3,2,5,5,0.42
4744,9,2,8,1,6,5,8,4,5,1,9,1,4,6,3,4,6,3,8,4,0.51
4745,3,4,4,4,5,4,5,6,8,9,6,6,6,5,6,6,4,5,5,8,0.58
4746,3,7,2,5,3,5,4,9,5,8,3,6,3,7,3,4,5,5,10,7,0.535
4747,6,5,5,6,4,3,3,4,4,7,9,5,6,4,4,1,6,5,6,7,0.515
4748,5,3,9,6,5,6,4,3,7,6,6,3,2,5,7,7,4,6,6,5,0.535
4749,3,5,5,2,5,2,4,3,4,3,9,7,8,6,8,5,4,8,5,4,0.53
4750,5,8,3,3,8,6,5,6,4,2,8,2,5,4,9,3,2,5,7,4,0.52
4751,7,4,6,5,3,4,2,5,6,3,4,7,3,6,11,4,7,2,3,2,0.51
4752,1,7,3,2,4,8,4,7,8,6,2,7,6,5,5,3,11,3,2,4,0.485
4753,2,7,4,3,8,6,3,6,6,7,4,3,4,4,5,8,8,3,4,5,0.53
4754,5,4,3,2,6,8,4,4,4,5,5,7,4,6,3,5,6,4,2,6,0.51
4755,4,5,4,4,7,5,7,5,6,5,6,6,6,6,3,4,7,6,9,2,0.57
4756,4,5,2,5,0,4,4,5,5,5,8,3,7,5,4,4,3,7,5,7,0.445
4757,5,7,6,4,2,4,3,5,6,6,5,6,3,5,4,5,8,5,2,8,0.49
4758,4,5,8,6,6,4,5,7,8,4,7,7,4,4,5,6,2,3,6,4,0.53
4759,4,6,5,4,5,7,4,3,5,3,7,3,3,3,6,4,4,8,5,8,0.48
4760,1,1,7,6,6,4,1,7,4,3,4,3,4,5,5,7,6,6,2,4,0.43
4761,6,5,8,2,5,2,4,8,4,5,5,6,3,2,5,4,3,3,5,5,0.46
4762,2,9,5,6,4,5,4,2,7,4,8,6,12,2,6,7,4,3,6,4,0.545
4763,5,7,2,5,3,6,5,4,6,2,4,7,4,8,4,4,11,3,4,4,0.475
4764,6,3,6,3,7,4,4,4,4,3,5,1,3,6,3,8,5,3,5,7,0.425
4765,10,6,2,4,4,5,5,4,8,3,11,7,8,2,5,9,3,7,2,2,0.54
4766,2,6,6,4,7,7,3,5,3,4,2,4,4,3,5,2,7,8,6,4,0.515
4767,4,3,7,5,2,7,7,5,7,6,4,4,6,9,6,2,0,3,6,7,0.515
4768,5,5,6,5,4,5,1,3,4,6,4,6,4,4,1,6,9,4,5,5,0.47
4769,5,2,8,8,4,6,6,6,6,7,6,6,5,7,6,4,5,3,3,7,0.56
4770,7,4,2,4,3,6,6,3,5,5,5,6,6,6,8,10,4,1,4,5,0.54
4771,4,3,5,5,7,7,6,2,5,4,7,5,9,4,3,2,4,3,6,8,0.495
4772,5,7,6,5,11,6,6,5,4,4,2,4,4,6,5,5,4,5,6,4,0.535
4773,5,3,3,4,6,5,5,8,3,2,6,3,3,4,7,2,7,5,5,8,0.49
4774,4,3,8,3,5,6,3,3,5,6,9,3,3,3,6,9,2,7,7,7,0.51
4775,5,8,6,3,4,9,5,2,9,4,3,5,5,4,7,3,2,5,4,6,0.495
4776,7,6,3,3,2,6,5,7,5,5,7,4,4,9,5,2,8,6,4,5,0.525
4777,7,5,4,4,7,1,4,6,4,5,7,6,4,3,3,4,7,5,7,10,0.525
4778,7,6,6,7,2,4,5,5,3,4,8,3,4,8,2,7,5,4,4,4,0.485
4779,4,7,3,1,5,4,4,8,3,5,3,1,4,8,6,4,4,4,9,5,0.47
4780,5,7,3,6,10,4,3,9,4,5,3,9,2,5,5,2,7,3,1,5,0.49
4781,5,4,5,4,2,2,6,4,4,5,4,3,3,4,10,5,4,6,3,6,0.425
4782,7,3,4,8,4,7,7,4,7,5,3,7,5,3,8,5,10,4,4,4,0.565
4783,4,6,3,4,2,4,8,5,6,4,11,3,5,4,4,5,6,7,9,6,0.545
4784,4,9,7,9,4,2,4,5,4,4,8,4,4,5,1,4,9,5,1,5,0.485
4785,10,8,4,8,3,4,4,5,4,6,5,6,5,5,5,6,6,6,4,6,0.56
4786,1,3,9,7,3,3,6,5,3,1,6,6,4,10,6,4,5,3,7,4,0.48
4787,7,4,6,9,3,3,6,4,5,6,4,5,7,5,7,4,2,4,9,5,0.56
4788,5,6,4,4,2,6,4,6,7,1,3,8,5,2,4,10,3,5,6,5,0.49
4789,5,5,10,3,4,2,6,5,6,4,2,8,4,3,10,6,2,4,3,9,0.525
4790,5,2,5,4,3,8,5,5,2,3,5,8,2,5,5,5,9,4,3,5,0.46
4791,6,10,5,6,2,4,4,6,4,4,4,6,6,8,3,4,2,4,1,6,0.515
4792,3,5,4,4,4,3,8,8,6,4,4,4,5,5,4,2,4,8,3,7,0.47
4793,0,6,6,5,4,6,5,4,10,3,7,4,4,4,2,4,1,6,3,6,0.495
4794,4,6,5,5,3,7,9,3,2,5,6,8,4,4,2,3,6,10,2,6,0.53
4795,0,3,5,6,9,3,10,3,5,8,5,2,5,2,2,9,3,7,2,5,0.515
4796,1,5,5,9,6,5,8,7,4,1,2,6,3,6,4,7,6,5,4,3,0.485
4797,3,6,4,5,3,5,5,5,3,5,5,8,6,3,6,5,2,4,3,5,0.505
4798,6,3,1,7,4,8,7,8,6,10,7,1,4,8,9,4,5,0,3,4,0.53
4799,4,4,6,3,5,7,8,8,4,6,4,4,9,5,3,8,8,4,5,2,0.545
4800,7,6,6,3,6,4,6,5,4,6,4,3,2,5,8,6,4,5,7,7,0.535
4801,4,2,7,7,6,3,6,5,5,5,4,4,5,8,3,5,3,4,4,2,0.47
4802,9,2,5,1,6,3,1,6,8,5,3,9,4,2,6,3,2,2,5,8,0.425
4803,5,4,4,5,4,7,3,8,6,3,0,4,7,8,6,9,7,6,8,3,0.545
4804,4,5,2,7,4,6,5,5,4,4,6,4,3,3,5,4,3,9,6,8,0.485
4805,10,5,4,12,8,5,1,7,7,10,4,1,7,4,8,3,6,6,3,4,0.61
4806,8,3,4,3,4,6,3,10,2,3,6,2,7,3,4,7,10,8,10,4,0.545
4807,3,4,7,8,5,2,4,5,7,9,2,6,5,3,5,5,2,7,7,9,0.545
4808,6,6,6,6,10,4,8,8,6,7,6,3,3,8,11,5,6,6,4,4,0.625
4809,6,4,5,6,2,3,3,6,5,5,5,8,5,6,2,8,4,4,2,3,0.455
4810,3,8,4,6,6,11,3,6,3,6,4,5,5,3,2,5,3,5,4,5,0.48
4811,5,6,4,4,6,2,8,7,7,4,2,5,4,6,7,4,8,3,2,3,0.475
4812,1,2,10,7,10,5,3,1,1,3,6,3,4,5,5,8,5,3,6,5,0.46
4813,3,5,8,5,4,4,5,5,5,6,2,2,5,7,6,7,6,5,4,5,0.505
4814,5,4,5,3,3,4,6,6,6,5,4,9,10,5,5,5,5,6,5,4,0.535
4815,6,6,7,6,4,2,7,5,8,6,3,3,4,5,4,6,2,3,3,4,0.45
4816,6,2,5,3,9,4,5,2,5,5,5,3,5,7,5,6,5,6,2,4,0.49
4817,8,5,2,6,6,7,9,6,5,5,4,4,6,4,1,6,6,4,3,3,0.53
4818,6,7,10,5,3,9,3,4,4,2,10,6,4,2,5,6,3,3,5,4,0.525
4819,3,8,7,5,7,2,6,9,4,2,5,1,4,5,5,5,5,6,3,8,0.505
4820,6,8,2,5,3,5,4,7,9,7,5,3,3,3,5,8,6,6,5,2,0.51
4821,4,5,3,8,5,7,4,1,5,6,5,7,5,7,7,8,7,8,2,5,0.55
4822,9,5,6,5,2,6,6,7,1,3,1,11,2,6,5,6,7,8,4,4,0.52
4823,3,5,5,6,6,5,3,8,5,5,7,3,4,5,5,6,8,5,5,6,0.535
4824,4,5,6,4,9,4,5,7,9,4,4,3,7,5,3,6,4,7,6,2,0.55
4825,6,6,4,8,8,6,5,6,3,4,7,7,7,6,2,7,3,9,6,2,0.575
4826,6,5,5,5,7,7,3,8,6,4,5,6,4,5,5,7,8,2,7,2,0.54
4827,2,8,1,6,5,7,6,1,4,5,5,4,6,4,6,6,3,3,10,3,0.46
4828,6,3,8,5,4,5,6,4,3,3,3,5,8,3,4,6,5,2,4,4,0.485
4829,7,4,10,2,5,7,8,4,6,6,5,2,4,6,7,6,2,5,7,5,0.55
4830,4,4,9,5,9,8,5,8,5,4,3,4,6,3,5,5,5,4,6,7,0.55
4831,3,5,6,3,5,9,3,8,6,3,5,7,7,8,7,4,5,5,3,2,0.56
4832,2,5,5,5,5,2,3,5,10,5,3,4,6,4,6,7,4,3,2,5,0.505
4833,3,10,8,2,2,4,6,4,6,4,5,6,3,6,7,2,1,4,7,5,0.47
4834,5,0,6,6,2,5,9,8,8,7,4,2,2,3,8,5,10,4,4,5,0.525
4835,3,2,2,4,7,4,7,3,6,2,6,7,3,9,4,3,12,4,4,4,0.48
4836,5,4,4,8,8,5,5,4,3,4,4,4,4,5,4,4,6,5,6,7,0.505
4837,7,9,8,2,8,4,4,4,9,4,1,10,3,2,7,3,0,2,7,3,0.475
4838,6,4,3,5,6,8,5,6,4,7,5,6,4,4,4,5,7,5,5,6,0.555
4839,5,4,4,3,6,3,3,4,5,7,7,6,4,7,7,8,5,4,4,2,0.475
4840,4,5,3,5,2,4,2,4,4,4,4,6,6,4,6,4,4,6,2,5,0.42
4841,4,11,4,6,5,5,7,5,4,7,4,4,4,7,6,5,7,9,5,4,0.575
4842,3,3,4,5,10,6,2,3,4,6,5,4,4,3,5,4,4,4,4,6,0.44
4843,4,5,3,9,9,5,4,8,3,2,7,5,6,3,9,4,4,8,4,8,0.575
4844,5,3,3,9,5,8,4,7,4,3,4,5,4,6,6,8,6,4,7,5,0.545
4845,2,4,4,4,6,3,7,4,3,4,5,7,8,3,4,5,3,6,7,5,0.45
4846,2,6,6,3,6,4,3,4,9,6,3,9,8,5,7,6,3,3,4,8,0.53
4847,3,8,4,11,6,5,6,8,4,7,1,7,5,8,6,4,2,5,5,5,0.56
4848,3,3,4,6,5,3,3,9,7,3,4,5,7,5,4,4,6,4,4,5,0.45
4849,7,7,4,6,4,3,6,4,5,5,4,3,8,7,2,2,5,3,3,7,0.46
4850,4,7,5,6,3,6,10,2,5,5,3,7,5,9,8,7,3,6,6,6,0.595
4851,2,2,5,3,6,3,5,6,2,4,6,4,9,3,6,4,5,4,3,2,0.42
4852,2,4,7,5,4,5,8,4,7,0,0,3,4,2,6,4,4,7,5,6,0.43
4853,3,6,4,6,6,4,3,11,2,3,7,7,3,7,3,2,4,5,5,5,0.465
4854,6,4,5,2,6,1,5,7,6,4,4,4,6,6,1,1,3,9,3,9,0.455
4855,3,6,5,5,8,4,3,8,3,4,4,4,4,4,6,3,5,5,4,4,0.485
4856,6,3,5,8,6,8,6,4,7,4,3,7,6,4,5,5,3,7,4,8,0.55
4857,4,2,5,3,10,1,5,3,3,10,2,6,3,8,5,2,2,8,6,8,0.48
4858,5,7,2,6,7,5,9,6,4,4,6,9,0,4,7,7,4,6,4,5,0.555
4859,4,5,5,2,5,3,3,2,5,6,4,7,5,10,11,9,7,6,3,3,0.56
4860,6,5,4,4,7,4,4,6,3,5,5,4,5,5,9,3,4,3,4,4,0.445
4861,4,4,2,6,4,3,8,4,6,5,5,6,3,1,6,6,6,3,4,3,0.44
4862,4,8,5,3,7,3,5,4,4,3,3,5,5,5,5,5,1,7,5,5,0.47
4863,7,6,8,6,7,3,4,6,4,8,3,6,5,3,3,2,5,3,4,4,0.485
4864,2,4,3,5,6,7,8,5,5,5,5,5,3,4,5,4,5,6,10,4,0.54
4865,5,4,7,4,6,7,4,2,3,4,3,8,6,5,6,4,4,5,2,7,0.5
4866,4,7,4,5,6,1,5,5,3,10,6,9,6,5,4,7,4,7,4,4,0.555
4867,5,5,10,3,6,4,5,4,7,5,5,4,5,5,5,3,4,6,5,8,0.525
4868,3,9,5,2,3,6,6,5,6,2,4,6,8,3,3,3,5,5,6,6,0.465
4869,8,4,8,5,2,4,4,4,5,4,9,8,6,7,4,3,4,4,4,5,0.51
4870,5,7,3,8,2,3,2,9,10,5,3,7,8,3,3,2,8,6,5,5,0.535
4871,6,4,6,5,4,4,3,6,4,4,4,3,4,5,9,2,5,4,6,7,0.5
4872,5,3,9,3,3,4,4,7,7,5,4,9,5,4,5,4,4,4,3,4,0.465
4873,5,7,5,6,5,6,7,5,2,3,8,6,3,5,5,6,5,5,7,3,0.535
4874,2,8,8,7,6,2,6,3,4,8,8,5,4,5,3,3,5,3,5,5,0.495
4875,3,8,6,5,5,8,6,4,5,4,3,5,5,3,4,4,5,6,5,5,0.505
4876,8,5,4,4,3,8,6,2,2,7,6,4,2,7,1,4,7,4,4,5,0.48
4877,4,6,2,2,3,5,7,12,3,6,8,3,9,2,7,6,4,4,6,9,0.5
4878,6,6,8,7,6,0,1,5,3,5,7,4,6,6,1,5,6,2,3,5,0.47
4879,3,5,6,6,8,4,4,6,3,7,9,5,3,7,5,4,5,3,6,5,0.535
4880,4,7,5,4,1,5,3,2,4,4,3,8,8,6,5,5,4,6,9,5,0.485
4881,6,2,5,2,2,5,6,5,4,5,4,8,8,7,3,3,4,5,10,5,0.515
4882,1,4,3,8,5,6,4,5,3,4,8,6,4,4,3,6,7,4,9,5,0.52
4883,5,4,6,4,8,3,3,5,7,8,5,6,5,5,5,4,4,4,3,4,0.5
4884,5,3,4,3,9,3,4,8,3,7,4,3,3,8,4,6,7,5,7,3,0.495
4885,4,2,3,5,6,7,3,7,5,4,4,6,2,6,5,9,7,4,2,2,0.49
4886,8,2,3,6,4,10,5,4,5,5,5,7,4,5,5,5,2,0,2,3,0.495
4887,2,5,9,10,4,5,10,5,4,5,5,4,3,1,6,4,4,6,5,8,0.535
4888,8,1,2,4,4,6,8,7,8,3,7,3,8,2,1,2,4,5,3,4,0.46
4889,3,2,3,3,8,5,3,8,6,1,2,8,5,7,5,5,7,7,1,9,0.485
4890,3,6,3,4,5,6,4,5,5,3,3,4,3,3,3,2,3,8,3,4,0.4
4891,6,6,2,8,6,5,7,6,6,6,2,5,4,4,6,5,7,5,5,4,0.525
4892,3,7,4,4,5,3,6,3,7,5,5,4,3,1,2,6,6,6,9,5,0.515
4893,8,4,4,2,5,8,2,5,6,5,2,5,7,3,2,7,3,5,3,4,0.425
4894,9,6,5,5,3,6,6,4,3,8,8,7,2,4,2,6,4,3,7,9,0.56
4895,6,2,7,3,5,9,5,6,5,5,6,8,4,5,6,6,2,6,2,7,0.535
4896,3,4,3,9,4,4,11,5,6,4,5,8,5,2,3,5,5,3,4,4,0.465
4897,2,2,5,4,7,2,9,2,5,9,4,4,2,5,4,10,4,6,7,5,0.485
4898,2,4,5,3,2,6,3,7,5,5,3,3,5,4,2,3,4,2,8,2,0.38
4899,5,2,5,6,4,6,3,8,2,4,4,3,6,5,4,4,4,4,3,4,0.43
4900,5,4,5,4,4,3,4,6,5,9,1,4,1,2,3,6,4,8,4,5,0.44
4901,6,2,5,4,6,7,6,3,3,2,5,7,4,5,3,3,1,1,5,1,0.415
4902,1,7,9,6,3,5,7,7,4,3,4,2,3,6,5,8,1,5,4,10,0.53
4903,5,6,1,6,5,4,4,9,8,4,4,7,3,2,5,5,3,5,5,5,0.49
4904,1,8,4,6,2,6,10,11,3,7,7,3,3,9,2,6,5,3,7,4,0.5
4905,5,5,4,8,6,4,8,6,6,5,6,4,2,6,6,6,6,4,5,5,0.545
4906,6,4,3,4,4,3,9,5,8,7,3,5,3,5,4,6,5,7,8,8,0.545
4907,2,7,6,6,6,4,5,1,1,3,1,8,3,6,2,4,11,5,8,4,0.46
4908,6,6,5,2,7,3,7,10,6,4,5,3,4,3,5,7,4,4,7,4,0.51
4909,7,7,8,7,2,5,7,7,7,7,9,7,3,6,3,6,3,3,6,5,0.6
4910,7,7,8,10,2,6,4,6,8,6,9,6,7,7,6,6,5,5,3,4,0.625
4911,7,4,5,4,6,6,9,5,4,6,4,5,5,8,4,6,5,6,3,4,0.555
4912,1,2,7,4,5,3,7,4,6,6,4,4,5,6,1,3,4,8,2,1,0.41
4913,6,8,6,4,4,7,3,6,4,8,1,4,4,5,4,4,5,4,4,5,0.49
4914,5,2,1,3,7,7,4,6,3,3,9,7,3,9,3,4,6,7,3,7,0.495
4915,6,4,7,6,6,5,8,5,4,5,7,4,3,4,6,4,5,5,8,4,0.555
4916,5,5,5,4,3,4,3,5,4,5,2,6,3,8,5,4,1,6,6,8,0.435
4917,7,7,5,4,5,4,4,6,3,3,6,5,4,8,6,4,2,2,4,3,0.47
4918,5,3,8,7,5,6,8,4,4,3,6,5,4,7,4,7,3,4,4,3,0.505
4919,8,3,4,5,3,6,5,1,7,5,6,2,4,9,8,6,4,6,6,6,0.56
4920,2,4,4,3,8,5,7,4,3,2,7,4,4,3,4,1,4,5,2,5,0.4
4921,9,1,3,3,7,4,3,7,6,8,7,2,6,5,5,3,4,3,3,5,0.45
4922,6,5,3,3,3,5,6,5,3,2,7,6,7,8,3,3,6,4,3,5,0.51
4923,6,4,4,5,2,5,8,5,2,7,6,4,3,5,9,5,3,8,3,5,0.495
4924,8,9,3,6,4,4,5,6,3,3,4,8,7,6,5,7,5,6,6,9,0.58
4925,4,6,3,4,4,6,3,10,6,4,4,4,8,5,6,1,10,10,7,2,0.57
4926,4,4,5,2,3,3,3,4,4,4,2,7,9,7,4,2,4,8,5,9,0.46
4927,6,3,7,3,4,2,3,8,3,6,6,6,5,4,3,6,4,6,10,4,0.495
4928,6,5,5,2,5,4,4,3,10,4,5,7,1,5,6,7,5,5,2,11,0.55
4929,6,7,5,6,5,5,2,9,5,4,3,2,6,3,3,5,4,3,8,3,0.445
4930,5,6,6,5,7,9,4,3,5,11,4,3,5,3,5,0,3,4,4,6,0.49
4931,6,5,5,8,6,5,4,7,5,5,4,3,8,9,5,4,8,1,6,8,0.595
4932,7,5,3,6,2,8,4,4,5,3,5,6,3,5,6,5,5,4,4,6,0.48
4933,4,8,6,6,5,6,2,8,7,2,8,6,8,2,6,1,4,4,3,8,0.535
4934,4,8,7,7,4,6,4,3,5,5,3,5,6,2,6,6,4,3,4,4,0.48
4935,6,5,4,3,2,4,10,3,9,2,6,4,5,3,2,4,5,6,4,3,0.495
4936,3,9,4,9,12,3,5,7,5,6,1,5,3,7,3,7,10,2,4,5,0.575
4937,4,7,2,7,6,5,2,5,3,6,8,3,1,7,1,3,5,8,7,7,0.475
4938,7,11,4,9,4,4,1,5,7,7,3,2,4,5,4,7,5,5,7,3,0.585
4939,2,2,4,3,8,2,1,5,3,6,9,5,4,7,6,7,2,4,6,6,0.435
4940,7,5,4,8,5,5,5,5,6,3,5,4,2,5,7,5,8,6,8,4,0.54
4941,8,3,4,4,3,6,7,10,3,4,5,4,3,5,4,4,5,3,7,5,0.475
4942,4,4,10,4,4,2,5,6,3,7,6,5,6,5,4,6,6,6,4,7,0.535
4943,5,5,7,3,6,4,3,4,4,1,5,5,6,9,5,8,2,8,7,2,0.495
4944,3,4,4,8,4,4,8,5,4,7,5,6,4,5,7,5,5,5,2,5,0.53
4945,6,3,8,5,1,1,4,4,7,5,3,4,9,6,9,7,2,6,3,5,0.5
4946,5,3,4,4,7,5,6,5,6,5,4,9,5,8,9,7,4,4,3,4,0.545
4947,4,4,5,6,3,4,6,4,6,2,3,8,5,8,2,5,3,3,4,4,0.44
4948,2,6,6,2,6,6,4,6,5,5,4,4,5,3,9,7,2,6,7,5,0.555
4949,4,8,4,3,4,5,5,4,8,4,4,4,6,6,5,6,1,4,5,6,0.465
4950,4,2,8,5,3,5,6,7,7,3,4,2,3,2,4,8,3,5,3,3,0.43
4951,4,5,6,7,6,7,7,4,4,4,4,7,6,5,5,8,10,3,3,6,0.565
4952,8,6,8,8,2,6,6,3,3,4,3,8,5,3,7,4,6,7,4,4,0.545
4953,3,5,4,8,3,4,4,1,5,3,4,1,4,2,0,4,5,4,2,6,0.415
4954,9,6,8,5,6,2,4,6,4,5,4,7,2,3,4,4,9,3,4,5,0.555
4955,4,3,7,5,3,4,9,5,4,6,4,3,9,3,2,5,2,9,1,4,0.455
4956,6,4,5,6,3,7,5,6,7,5,1,4,3,5,7,7,3,1,11,4,0.555
4957,4,5,5,7,2,4,5,5,8,4,3,3,6,5,5,7,10,5,3,5,0.54
4958,3,7,6,7,6,4,5,5,4,4,2,4,4,2,8,6,4,3,8,7,0.495
4959,6,5,8,8,5,4,3,4,3,4,5,7,6,2,7,5,6,2,2,3,0.47
4960,9,4,4,4,1,4,6,4,4,8,9,3,3,5,8,6,3,2,5,7,0.495
4961,3,3,2,5,5,5,5,2,12,11,5,6,1,4,2,5,7,7,3,6,0.52
4962,2,5,3,3,6,3,6,2,10,3,7,3,5,6,4,6,3,6,5,5,0.46
4963,3,6,4,5,5,6,4,7,3,9,5,2,3,3,8,5,2,8,2,4,0.45
4964,8,6,2,4,7,2,7,5,4,3,2,3,2,4,5,7,5,7,10,4,0.485
4965,4,3,4,3,6,11,1,3,9,2,7,5,2,6,7,3,5,3,6,2,0.44
4966,7,9,9,5,5,4,3,6,5,4,5,7,4,5,3,5,8,4,6,3,0.57
4967,0,4,2,6,6,3,7,7,6,6,6,9,10,2,9,5,6,4,3,9,0.58
4968,4,5,3,3,6,4,3,9,1,3,6,7,4,8,4,8,4,6,7,5,0.505
4969,5,4,5,10,3,7,2,3,12,5,3,5,7,5,8,6,2,3,2,4,0.555
4970,3,4,8,5,6,4,5,3,7,4,5,9,7,5,7,1,4,6,5,7,0.53
4971,6,5,6,4,13,4,3,2,4,6,4,6,4,5,6,6,6,8,3,5,0.545
4972,10,3,8,1,3,8,4,9,6,5,7,5,3,2,4,4,5,2,0,3,0.445
4973,8,5,7,7,7,4,1,9,7,3,1,6,4,7,5,3,3,6,5,6,0.525
4974,3,6,5,4,11,5,7,1,5,2,3,7,7,5,5,2,10,2,2,4,0.5
4975,6,5,5,6,5,5,6,5,5,4,3,2,7,6,7,4,5,7,2,9,0.525
4976,5,7,3,3,4,4,4,6,7,5,7,3,6,5,8,4,6,2,3,5,0.485
4977,5,6,9,7,1,4,4,7,7,0,7,3,14,8,3,8,2,1,5,10,0.59
4978,7,8,5,2,6,4,4,3,9,3,2,5,6,1,7,4,3,6,8,3,0.465
4979,7,3,5,4,6,8,5,6,4,4,4,3,3,7,4,6,5,7,6,8,0.53
4980,4,6,4,6,7,5,5,7,3,8,3,6,5,5,3,7,2,3,5,2,0.465
4981,3,3,3,5,5,7,3,4,7,0,4,4,5,9,9,5,3,2,9,6,0.49
4982,4,2,5,4,4,2,3,5,7,6,5,8,4,5,3,8,4,6,7,6,0.485
4983,5,3,5,5,8,7,6,2,5,3,3,5,5,1,4,3,4,9,7,3,0.49
4984,4,4,8,6,4,4,7,5,6,6,4,4,7,5,4,5,3,7,5,7,0.535
4985,1,4,2,3,2,9,3,2,4,3,10,3,2,2,4,2,6,4,8,4,0.39
4986,0,6,4,4,5,5,8,5,6,7,4,8,4,6,12,9,3,5,6,8,0.6
4987,6,4,4,5,8,7,5,7,5,5,7,5,5,7,6,5,5,3,4,3,0.555
4988,3,6,8,4,2,7,3,6,1,8,5,7,6,7,8,6,6,4,2,6,0.53
4989,5,2,4,9,4,4,2,5,6,8,5,4,4,3,4,4,6,5,6,3,0.48
4990,3,5,9,2,4,3,5,7,2,1,4,2,4,8,8,5,6,7,4,5,0.445
4991,6,5,7,4,7,4,7,4,8,7,7,2,6,5,5,6,4,5,8,6,0.595
4992,5,5,10,1,4,3,7,4,2,7,4,4,5,5,4,2,5,8,3,4,0.515
4993,3,4,4,4,6,6,5,4,4,8,3,3,5,5,6,4,5,4,5,3,0.45
4994,3,6,6,2,5,4,0,5,5,9,4,0,8,7,6,4,8,5,3,8,0.475
4995,7,3,6,4,7,6,4,5,2,6,5,5,8,8,4,4,5,5,3,10,0.54
4996,3,8,6,6,5,8,6,8,3,3,4,3,4,3,2,4,5,7,6,6,0.53
4997,3,4,2,5,7,4,8,4,5,9,3,3,1,6,3,3,5,5,4,4,0.42
4998,3,5,4,6,5,5,7,2,6,4,8,4,7,5,3,7,7,4,4,7,0.525
4999,5,9,7,11,5,3,2,5,5,2,7,1,3,8,6,4,3,9,7,3,0.545
5000,4,8,7,3,6,6,2,3,5,4,4,7,5,3,5,4,7,7,5,5,0.53
5001,2,7,2,8,7,6,5,4,4,2,5,3,8,3,5,2,4,5,5,5,0.515
5002,7,7,6,4,2,4,6,5,4,6,7,2,4,6,4,5,4,4,2,5,0.445
5003,3,5,6,5,5,7,6,10,3,4,2,7,5,4,5,3,7,9,2,3,0.505
5004,3,3,2,5,6,4,3,5,8,5,5,10,5,4,3,4,11,5,3,4,0.49
5005,8,9,3,8,4,4,4,1,8,1,4,4,9,3,3,4,2,4,8,4,0.515
5006,7,2,4,4,6,4,5,5,2,6,5,6,3,3,4,6,3,4,7,8,0.51
5007,7,3,8,2,5,3,3,10,6,8,1,2,6,5,6,4,5,4,6,5,0.495
5008,5,5,3,7,3,6,4,5,4,8,6,3,6,8,5,4,2,3,4,6,0.485
5009,2,10,5,6,3,5,10,5,8,4,2,2,3,3,3,2,8,4,5,4,0.47
